4317	24	5	2	74	221	3	2
1580	37	1	1	1186	1303	3	1
3402	8	4	1	770	886	1	3
4369	35	7	2	133	254	2	1
3688	39	7	2	1241	1327	3	3
3225	33	6	2	563	667	3	3
1983	28	2	1	872	933	2	2
1685	21	7	2	743	834	3	1
3811	31	8	3	1343	1446	2	1
2067	20	4	1	149	217	1	2
1515	15	6	2	444	509	1	3
3490	1	5	2	216	287	1	2
4288	13	5	2	216	327	1	1
1188	14	2	1	691	841	1	1
3234	3	2	1	784	932	2	2
1078	5	4	1	287	391	1	3
3991	19	6	2	1121	1185	1	1
4892	36	8	3	787	883	3	3
2624	26	4	1	853	995	3	2
3538	10	7	2	1065	1159	1	2
3739	32	7	2	696	764	3	2
1762	18	7	2	1058	1193	3	1
4154	7	2	1	954	1043	3	3
4349	16	7	2	564	642	3	3
4193	6	2	1	750	886	3	2
3503	29	2	1	437	573	1	1
3607	25	2	1	48	127	1	1
3577	34	5	2	244	315	3	3
3557	30	5	2	942	1064	3	3
3507	1	4	1	327	402	3	1
4645	23	7	2	486	568	2	1
3218	27	2	1	1023	1164	3	2
2799	2	8	3	1320	1460	3	3
1819	38	7	2	196	342	1	3
4407	22	1	1	501	582	1	2
2028	17	6	2	772	840	3	3
2657	2	7	2	500	617	3	3
2788	4	2	1	130	204	3	2
4927	11	5	2	316	465	2	2
1111	40	5	2	961	1100	1	2
